22576,281226
23953,286775
24484,288029
26319,291894
36572,305803
41305,313849
42142,316280
48854,331430
50671,335465
53221,342939
53221,347939
58286,357914
60751,362044
63725,370911
64266,371847
64237,372392
73609,384872
73566,385077
75427,389711
78314,394127
78314,394532
90027,430390
90542,431723
90542,431735
95670,445692
97224,452328
97908,454158
97900,454244
97900,479244
106980,492990
108367,497476
108602,498418
108592,498452
108772,502314
109754,505663
111369,509889
111369,509512
114011,514027
114341,516478
115069,519554
116224,522557
121856,530750
121857,530817
132611,543931
135626,548438
135671,548511
135655,549065
135702,549168
135702,588300
142466,602024
142466,682876
164414,715509
182743,754161
182561,755479
184397,761222
186755,765771
190984,775944
192380,777229
192380,777669
195953,787082
200360,797672
200360,796837
203700,802449
203781,802666
212236,827177
245891,905162
256058,924543
266234,945640
265676,949000
266754,952197
266652,954387
268846,958966
276979,976608
292148,1004
292412,1005
301386,1021
303293,1032
303293,1034
308243,1042
308167,1044
319377,1066
319377,1062
319377,1060
319377,1053
319876,1056
319931,1057
337616,1085
343462,1108
349685,1121
353834,1129
356423,1135
379700,1160
388889,1175
398656,1191
424125,1223
435204,1251
435231,1252
448129,1275
451993,1282
459000,1296
458915,1296
461765,1307
463576,1311
463710,1312
463965,1313
466625,1318
469423,1323
472593,1334
472623,1334
472622,1334
492350,1370
499120,1385
499121,1385
504890,1399
512636,1419
512933,1425
534180,1459
540587,1474
540594,1475
541492,1479
542774,1482
550001,1565
587656,1609
589367,1613
589382,1614
616079,1653
618840,1658
